Unnamed: 0,公司名稱,職務名稱,工作內容,條件要求,工作待遇,福利制度,網址連結,Python,TensorFlow,MySQL,C,C++,Git,Java,R,OpenCV,Spark,Docker,DeepLearning,Linux,Hadoop,Kafka,MongoDB,JavaScript,DataMining
0,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,Data Scientist 資料科學家,"Responsibilities :- Design experiments to optimize product performance and co-work with engineers    and pm to build the right application.- Analyze data and communicate statistical results to pm and our clients- Training and fine tuning deep learning models according to business need.- Studying and researching on latest AI application technology methods and put into practice. Qualifications:- Solid knowledge of machine learning and statistics, familiar with deep learning - Ability to deal with both structured and unstructured data- Experienced in data analyzing via Python or R, especially with visualization tools- Basic understanding of cutting edge IT/CT/AI technology such like container, deep learning, nfv is a plus- Be adaptive and be willing to learn new things is the most important of all- Have worked in a Startup is a huge plus","接受身份：                    上班族、應屆畢業生、外籍人士                    可上班日：一個月內工作經歷：不拘學歷要求：大學以上科系要求：資訊工程相關、數理統計相關、物理學相關語文條件：                        英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  其他條件：                        1. Please prepare the certificates of your highest education record for our face-to-face interview if you have graduated within 5 years.2. Know Deep Learning in Computer Vision is a plus.",待遇面議                                                    (經常性薪資達4萬元或以上)                                                薪資行情,"Official employees are eligible for 10-day annual leaves within the first year.
Yearly health examination subsidy for all employees.
Birthday present. Food & Beverage. Year-end dinner.
到職即享第一年的10天年假
共同上班時間: 10:30~17:30
健康檢查。零食飲料。生日禮品。尾牙聚餐。不定期員工教育訓練/向心力活動",https://m.104.com.tw/job/76hgd?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,新加坡商鈦坦科技股份有限公司台灣分公司,Data Scientist 資料科學家,"What a Data Scientist does in Titansoft 1. Apply statistical and machine learning techniques to build models for user classification, fraud detection and other objectives.2. Mine, analyze and visualize data from company databases to drive optimization and improve product development, marketing techniques and business strategies.3. Identify, understand and solve business problems based on the company's overall targets.4. Coordinate with different feature teams to implement models and design proper performance evaluation metrics.","接受身份：                    上班族                    可上班日：不限工作經歷：不拘學歷要求：不拘科系要求：資訊管理相關、資訊工程相關、數理統計相關語文條件：                        英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  擅長工具：Python、MS SQL  其他條件：                        Experience1.	Knowledge and experience with application of a variety of machine learning techniques (clustering, decision tree, neural network, etc.).2.	Knowledge and experience with application of advanced statistical techniques (regression, various statistical tests, etc.).3.	Real-world ML project experiences.4.	Fresh graduates are welcome to apply, competition experience is a plus. Skills1.	Proficiency in Python (must), SQL or other programming languages.2.	Proficiency in common ML frameworks, etc., Scikit-learn, Keras, Tensorflow.3.	Strong problem solving skills. 4.	Excellent written and verbal communication skills for coordinating across teams and with stakeholders. Personality Traits / Characteristics1.	Emphasis on outcomes and improvements in product performance.2.	Passion to learn and apply new technologies and techniques.3.	Data driven.",待遇面議                                                    (經常性薪資達4萬元或以上)                                                薪資行情,"在鈦坦「人」是最寶貴的資產，我們重視員工的培訓和職涯發展計畫。

-	基本年假 12 天（試用期後即可使用）。 
-	年享有 8 天全薪病假。
-	年薪14 個月（含三節及年終獎金）。
-	彈性上下班時間。
-	活絡筋骨專人按摩。
-	教育訓練（內部&外部）在職進修制度。
-	健康檢查費用補助。
-	生育、婚喪禮金補助。
-	運動津貼補助。
-	電信費用（含購機）補助。
-	員工海外旅遊（美國、日本、泰國、印尼、柬埔寨、越南）。
-	績效獎金（視當年度營運及個人績效而定）。
-      員工介紹獎金（視被介紹者職級而定）。

在鈦坦沒有Boss，但需要自組織的Guts，我們鼓勵同仁互相激發創意，讓組織天天充滿活力，團隊一起捲起袖子，把手弄髒，為世界創造更多顛覆常規的樂趣。我們的工作模式，就事論事，對事不對人，學歷經歷都不重要，有貢獻就有回饋，改變是這世上唯一不變的事物，我們擁抱改變，並隨機應變。",https://m.104.com.tw/job/697oo?jobsource=jolist_c_relevance,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,蜂群電子商務股份有限公司,Data Scientist/資料科學家,1.透過機器學習最佳化派送流程、運輸路徑、補給路線2.資料探勘客戶族群、訂單進行統計及分析，開發資料視覺化圖表3.建構數據分析環境，並運用Python分析4.具有大數據資料解析、數據洞察能力及良好邏輯分析與程式開發能力5.能與其他系統開發工作團隊配合,"接受身份：                    上班族、應屆畢業生                    可上班日：一個月內工作經歷：1年以上學歷要求：大學、碩士科系要求：資訊工程相關、應用數學相關、土木工程相關擅長工具：Python、MySQL、Google Analytics、Firebase  工作技能：軟體程式設計、模組化系統設計、Machine Learning其他條件：                        1.熟悉C/C++/ Python等程式語言2.熟悉Python及相關開發架構(Tensor Flow, PyTorch或Keras,…等)3.具備路徑規劃/分配問題/數據分析經驗(OR Tool)4.喜歡主動閱讀國內外AI或大數據分析相關的論文、專利或相關新知者佳上班時間每週五天，每日八小時，早上 10:00 ~ 下午 7:00，中午休息 1 小時可彈性上下班(最晚10：30上班)，早點來可以早點走，時間自主管理","月薪 55,000~100,000元                                                薪資行情","員工紅利 年終獎金 咖啡吧 停車位 

                        ◆ 獎金/禮品類
1.年終獎金
2.三節獎金/禮品

◆ 保險類
1.勞保
2.健保

◆ 制度類
1.績效獎金

◆ 請 / 休假制度
1.週休二日
2.特休/年假",https://m.104.com.tw/job/76eob?jobsource=jolist_c_relevance,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,偉康科技股份有限公司,資料科學家 Data Scientist,"★用挑戰拒絕平庸,用環境跳躍成長;勇於向自己挑戰,遇見更好的自己。★如果你是一個喜歡學習和挑戰的軟體工程師，你可能是我們正在找的人才。挑戰.學習.是我們最大的資產！《工作內容》於專案中進行分析建模開發規劃及設計工作，與系統分析師溝通確認如何實作需求，並配合專案經理規劃時程完成工作，在系統開發中，資料科學家執行建模及模型生命週期管理，協助專案運用機器學習解決使用者問題。《需求條件》1. 資料建模開發經驗 2. 熟悉任一程式語言，Python、Java、Scala 3. 熟悉任一框架，Tensorflow 、Scikit-learn、Keras、 Pytorch 4. 熟悉任一開發工具，Jupyter、Zeppine 5. 熟悉Git",接受身份：                    上班族                    可上班日：不限工作經歷：2年以上學歷要求：大學以上擅長工具：Git、Java、Python、Scala  工作技能：系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、網路程式設計、資料庫程式設計、資料庫軟體應用、系統架構規劃與維護,待遇面議                                                    (經常性薪資達4萬元或以上)                                                薪資行情,"法定項目

週休二日 員工體檢 
其他福利

員工紅利 年終獎金 三節獎金/禮品 特殊節日獎金禮品 專業證照獎金 咖啡吧 結婚禮金 生育津貼 員工進修補助 旅遊補助 部門聚餐 優於勞基法特休 員工團體保險 

                        偉康是充滿工作活力、氣氛輕鬆、快速成長中的公司。在偉康，沒有墨守成規，只有鼓勵向前。偉康重視團隊合作和自我管理，提供挑戰，又兼具創意及輕鬆活潑的高度自由工作環境，歡迎勇於嘗試的人接受挑戰。

【薪資報酬】優於業界薪資水準，讓你薪水比朋友高
　1.保障年薪14個月：端午、中秋各半個月、春節一個月，每月15日預發當月薪資。
　2.每年固定調薪：除高於業界之薪資水準與獎金外，每年7月固定調薪，我們重視一同打拼的夥伴共享奮鬥果實。
　3.季度與年度獎勵：每季與每年都固定頒發激勵獎金與提供獎勵假期，鼓勵同仁，不斷挑戰自我。
　4.績效獎金：回饋同仁一整年的辛勞，讓熱情投入的夥伴，共同分享經營成果。
　5.人才推薦獎金：鼓勵內部同仁推薦人才，為偉康找到更多優秀的好夥伴。

【學習與成長】訓練課程上好上滿，讓你變強還有獎金拿
　1.基礎職能訓練：完整的新進同仁在職訓練，讓您奠定成功的基礎。
　2.專業技能訓練：同仁根據自己的專業領域找到適當的課程，來提升專業技能，創造寬廣無限的職涯。 
　3.管理階層訓練：管理理論與實務並重，包括新任主管、中階主管、高階主管與未來主管的培訓計畫。 
　4.教育訓練補助：內部與外部之專業與技術課程，費用由公司補助，協助同仁學習新知、取得認證，證照考取還可領奬金。
　5.技術交流分享會：透過內部技術交流分享會，讓你跟夥伴互相切磋，加速學習。
　6.每季講座：每季舉辦學習成長系列講座，讓您自我學習成長，還有下午茶吃到飽。

【休閒娛樂】豐富活動數不完，還可攜伴一起玩
　1.旅遊補助：每年固定有旅遊補助，讓您開心出遊充電。
　2.部門聚餐：部門與公司歡樂聚餐、專案慶功聚餐、年終尾牙大餐與精彩抽獎都是一定要的，不定期還有外宿活動可參加。
　3.娛樂活動：每季定期舉辦五花八門的免費娛樂活動，像是烘焙教室、射箭體驗、K歌大賽，卡丁車競速，還可攜伴參加。
　4.藝文活動：不定期包下電影場次，或是豪氣發放電影票或藝文活動票券，提升文藝氣息。
　5.社團活動：公司補助各式社團活動，歡迎多才多藝的您加入，一起認真工作、用力玩。
　6.節慶與特殊活動：舉辦萬聖節派對、聖誕節派對、交換禮物與團隊領導活動等，增加工作樂趣。

【工作與環境】彈性工時、給假大方、出遊不怕沒假請
　1.彈性上下班：上下班彈性外加一個半小時午休， 讓您自由調整作息時段，每天上班都是最佳狀態。 
　2.優於勞基法的特休規定：到職日當年度起，即依八天比例，給予第一曆年特休。
　3.舒適辦公環境：明亮開放的舒適空間，咖啡吧檯與用餐休息區當然不可少。 
　4.免費咖啡：高級咖啡機，各種口味任君挑選，一鍵讓你輕鬆提神。
　5.交通便捷：位處南京三民捷運站，交通便捷。

【安全保障】基本保障不會少，禮金禮品樣樣有
　1.定期健康檢查：偉康重視每位員工的健康，每二年進行定期健康檢查。
　2.各式津貼、禮金或禮品：不論是重要節慶、生日、結婚、生育、生病慰問、喪葬慰問，都有津貼補助、禮金或禮品。
　3.勞保、健保與退休金提撥。
　4.團體保險：保障同仁因遭遇意外傷害之醫療保險。

【制度】好人才，升官又發財
　1.完善的經營管理制度。
　2.完整的教育訓練。
　3.順暢的升遷管道。",https://m.104.com.tw/job/769if?jobsource=jolist_c_relevance,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,Pinkoi_香港商果翼科技股份有限公司台灣分公司,Data Scientist - Marketing / 資料科學家 - 行銷部,"我們是 Pinkoi 的行銷部門，負責替設計師傳遞關於設計品的故事，建構起 Pinkoi 的品牌形象。我們也擅長操作數位行銷管道，將訊息傳遞後，用數據做判斷，擴大每個流量的效益。Pinkoi 行銷部，一個理性感性兼具的團隊，現在需要數據分析的夥伴加入我們，幫助我們提升效益。你的表現會從你提供的銷售策略，創造多少營收成長來評估。你需要負責的工作內容1. 協助訂立指標，並建立報表、儀表板追蹤 KPI 表現。2. 規劃用戶運營計畫，擬定會員分群的行銷策略，以達成階段型成長目標。目標如：降低用戶獲取成本、提高用戶留存率、提升沈睡訪客召回率。3. 設計 A/B testing 來驗證假設、分析實驗成效 。4. 熟悉統計分析模型與方法，能透過模型來解決商業問題，並提供策略提案給 Business Leader 決策執行。我們希望你有的經驗跟特質1. 商業思維：具備商業敏感度，能將數字轉換為實際可落實的方案給隊友落實。2. 分析熱忱：對分析有高度熱忱及耐心，喜歡挖掘背後原理與原因，並樂於學習新知識。3. 專業能力：能用資料回答疑問/剖析使用者行為/建立產品指標、知道資料處理處理的眉角 (e.g., 處理被汙染的資料)4. 資料視覺化：在工作中繪製過各種圖表、能在正確的時機製作正確的視覺化，將研究轉化成洞察。5. 溝通能力：有耐心了解別人的想法，並能清楚表達自己意見。此職務會需要大量與數據部門、行銷部門合作，共同協助商業增長6. 團隊合作：具備和設計師/工程師/資料科學家合作的經驗，善於有效協助統整歸納需求、折衝各方意見找到平衡點。7. 主動積極：能獨自完成給予的專案，有效分配自己的工作時間應徵條件1. 統計 / 數學 / 資料科學相關科系畢業。2. 至少 3 年以上工作經驗， 1 年以上數據分析相關工作經驗。3. 能夠處理邏輯複雜的 SQL 能力。4. 具備基本 Python 或 R 程式能力，並有處理大量數據的經驗。5. 具備 Data Visualize 能力，熟悉 Python/ R library ex. plotly 或是操作型工具類 ex. Tableau, Superset, Cognos 等 BI 工具。6. 英文口語書寫能力佳。加分條件1. 具備數據工程能力、模型設計2. 1 年以上電商相關工作經驗不用想了，趕快來當個 Pinkoi 人如果你有信心能夠勝任這份工作，請務必於附件附上下述資料，幫助我們了解你的專業能力及求職動機，若未附上恕不安排面試：1. 請告訴我們為什麼想應徵這份工作。2. 你分析上遇到最大的挫折，你當時的應對方式是什麼？3. 對於電商平台，資料科學有什麼高價值的應用？承上題，對於 Pinkoi，此運用能發想出什麼行銷策略？（請發想至少兩個點子）謝謝你用心準備並遞交申請。我們會通知合適者約面試，若不符合資格，將不另行通知，謝謝大家。",接受身份：                    上班族                    可上班日：不限工作經歷：不拘學歷要求：不拘擅長工具：Python、R、MS SQL、Tableau  其他條件：                        不用想了，趕快來當個 Pinkoi 人如果你有信心能夠勝任這份工作，請務必於附件附上下述資料，幫助我們了解你的專業能力及求職動機，若未附上恕不安排面試：1. 請告訴我們為什麼想應徵這份工作。2. 你分析上遇到最大的挫折，你當時的應對方式是什麼？3. 對於電商平台，資料科學有什麼高價值的應用？承上題，對於 Pinkoi，此運用能發想出什麼行銷策略？（請發想至少兩個點子）謝謝你用心準備並遞交申請。我們會通知合適者約面試，若不符合資格，將不另行通知，謝謝大家。,待遇面議                                                    (經常性薪資達4萬元或以上)                                                薪資行情,"法定項目

週休二日 
其他福利

國內旅遊 國外旅遊 部門聚餐 慶生會 社團活動 員工優惠 社團補助 零食櫃 員工舒壓按摩 

                        ★加入 Pinkoi 的福利★

＊你會有一台 MacBook Air，陪你時髦有品味的快樂工作
＊漂亮的工作環境和開心的工作氣氛
＊我們有個經常會自己長出飲料的冰箱，每週下午茶供應
＊有瑞士全自動咖啡機，不小心還會發現各國的優質咖啡豆
＊我們每個星期一早上有免費外送咖啡，幫你補充滿滿一星期的能量
＊加入第一天即享有年假
＊團隊如果達成目標即進行薪資調整，每年績效獎金視公司成長提撥預算
＊在 Pinkoi 我們不加班就能完成負責的工作甚至更多
＊我們隨時都會有好玩的事情和活動
＊Pinkoi 在做的是國際化的產品、我們也在快速的成長，加入 Pinkoi 你會有最好的成長環境和舞台
＊你會跟非常優秀的團隊成員一起共事，Pinkoi 每個人都很棒
＊辦公室地點在台北市，靠近台大醫院站、二二八紀念公園，更多你來面試的時候我們再聊

★你是人才，但是找不到相關職缺★

沒關係，歡迎來信 hr@pinkoi.com，附上履歷，同時分享你覺得很複雜、很有挑戰性，普遍一般人不懂，但是你有深刻專業認識的一件事情，而這件事情可以讓 Pinkoi 更好，讓我們可以更認識你。有合適者，我們會主動通知。",https://m.104.com.tw/job/76o9t?jobsource=jolist_c_relevance,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,資寶科技股份有限公司,CV資料科學家/CV Data Scientist,"* Role Description *We are looking for data scientists who are interested in building an intelligence service for professional workers with our growing team worldwide. The service can organize knowledge from massive documents and external data sources and draft reports from organized knowledge for professional workers. This is a leadership role. You have to lead data engineers and collaborate with other teams. This role requests creation, innovation, and originality.* Responsibilities *1. Research and evaluate pioneering machine learning and statistical models2. Use machine learning and analytical techniques to build prediction models for document intelligence solutions.3. Design, develop, and test advanced models for predictive user behaviors4. Design efficient, scalable, automated processes for large scale data analyses, model development, model validation, and model implementation5. Cooperate with engineering teams to provide solutions with machine learning techniques6. Cooperate with project managers to create new features with the benefits of machine learning techniques* Minimum qualifications *1. Master degree in Computer Science, related technical field, or equivalent practical experience2. At least five years of relevant experience in CV (computer vision)3. Experience with one general-purpose programming language (e.g., Python, Java, C/C++)4. Experience in algorithms and libraries of CV 5. Excellent documentation, communication, organizational, and analytical skills6. Experience in data processing of textual and numerical data7. Experience with Linux/Unix environments and containers8. Self-motivated and responsive to multiple challenges in a fast-moving team environment* Preferred qualifications *1. Advanced degree in engineering or technical/scientific field of study2. Familiar with object detection and layout analysis CV models and algorithms3. Experience building large scale distributed data analysis systems or applications4. Excellent documentation, communication, organizational, and analytical skills5. Experience in MLOps",聯絡人：人力資源部HR看更多公司資訊,"年薪 1,600,000~2,500,000元                                                薪資行情","出差外派：
需出差，一年累積時間約三個月以下


上班時段：
日班


休假制度：
週休二日


管理責任：
管理4人以下",https://m.104.com.tw/job/71fze?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,博賢智能科技有限公司,資料科學家 Data Scientist,"Job Description: - Data scientist (data mining, data modeling, data analysis, machine learning applications and other AI domain algorithm applications)- Mining big data, analyzing relevant application scenarios and developing AI industry solutions. Requirements:- Master degree or above in Statistic, Mathematics, Computer Science or related degree.- Adequate expertise and ability to propose projects and methods, at least in one or more of the following technology/industry areas: big data analysis, machine learning, NLP, retail, manufacturing, IOT, environmental research, medical Informatics, logistics or supply chain research.- Deep understanding of algorithms and AI- Master big data foundation support framework is preferred: Hadoop/Spark(Map/Reduce, HBase/Hive/HDFS, Streaming, Kafka, Flume, Yarn), ElesticsSearch/Solr, Redis and so on.- Proficiency in at least one or more of : Java, Python, R, SAS/SPSS, C, C++, Maple, Go, Ruby, JavaScript, SQL.- Strong paper or patent publication record is preferred.- Excellent communication skills.- Fluent English is preferred.",聯絡人：HRE-mail：recruit@ctigroup.hk看更多公司資訊,待遇面議                                                    (經常性薪資達4萬元或以上)                                                薪資行情,"出差外派：
需出差外派，一年累積時間未定


上班時段：
日班


休假制度：
依公司規定


管理責任：
不需負擔管理責任",https://m.104.com.tw/job/6j8ye?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,塞席爾商悠福科技股份有限公司,資料科學家 Data Scientist 專職/長期實習,與團隊配合並了解公司需求以及提出解決方案 (hands-on programming)演算法開發及優化 (Algorithm development and optimization)進行資料統計分析 (Research and evaluate statistical model)協助團隊建立及優化系統 (Cooperate with teams on Machine Learning system),"接受身份：                    上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民【相關法令】、二度就業、學生實習                    可上班日：不限工作經歷：不拘學歷要求：大學以上其他條件：                        1. Experience in analyzing and extracting information from large amounts of data2. Hands-on work on model development, model validation and model implementation3. Master or Ph.D. in Machine Learning, Math or Statistics.  歡迎學生長期實習",待遇面議                                                    (經常性薪資達4萬元或以上)                                                薪資行情,"1、競爭力薪酬獎金制度
我們提供優渥的薪資水準、員工分紅及各式獎金。
2、彈性上班制度
上下班免打卡，可遠端工作
3、優秀人才推薦獎金制度
我們希望可以找到願意志同道合一起打拼的好夥伴，透過推薦獎金制度為ucfunnel注入新的能量。
4、訓練發展
我們鼓勵員工不斷精進學習，ucfunnel 定期舉辦提升工作能力之內部教育訓練、內部案例分享及研討會；重視同仁教育訓練，長期與中研院、台灣大學等國內外研究單位合作。
5、多元福利活動與津貼
我們提供三節禮金或禮品，並不定期舉辦多元化的聚餐與團隊凝聚活動及提供辦公室免費飲料、茶點，給夥伴們隨時滿滿的精力。
6、優質工作環境
我們提供寬敞明亮且舒適的辦公環境。
7、國際化職場環境
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。",https://m.104.com.tw/job/5l6qm?jobsource=jolist_c_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,中強光電股份有限公司,研發類-Data Scientist 資料科學家(AIRD),1.資料標記2.數據建模3.深度學習演算法開發4.撰寫研究報告,接受身份：                    上班族                    可上班日：一個月內工作經歷：不拘學歷要求：博士語文條件：                        英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通  擅長工具：Python  其他條件：,待遇面議                                                    (經常性薪資達4萬元或以上)                                                薪資行情,"「人才」是中強光電最重視的資產，中強光電秉持與員工利潤共享的理念，歡迎充滿熱情、負責與創新的卓越人才加入這個年輕活潑的舞台，共同開創璀璨的未來。中強光電高度重視員工需求，致力打造優質的工作環境，提供多樣化的福利設計，讓您可享受工作成果並快樂生活。

◎優渥的薪酬，民國88年上櫃至今均維持穩定獲利(利潤與員工共享) 
◆員工營運績效獎金與生產績效獎金(視當年度營運與個人績效而定) 
◆三節獎金(中秋、端午、春節)
◆研發專利獎金

◎完善的醫療保健/保險
◆員工定期健康檢查與特殊作業健康檢查，並備有廠區醫護室隨時關心同仁的健康
◆不定期舉辦孕媽咪講座、防癌篩檢、骨質密度與腹部超音波檢查，並提供專業醫療講座與諮詢
◆健全的勞健保險制度與員工免費團體保險
◆派外人員、出差人員之旅平險與意外險

◎便捷的交通設施
◆免費汽、機車員工停車場與孕婦專屬停車位
◆免費員工上下班交通車與廠區接駁車

◎溫馨的各項補助
◆結婚禮金、生育禮金、住院補助與喪葬慰問金
◆生日禮券、外訓補助、語言訓練補助

◆外訓補助、語言訓練補助

◎優質的工作環境
◆暢通的員工溝通管道與員工協助方案(EAP)，提供員工各項諮詢服務(包含醫療、心理、法律、理財等)
◆孕婦專屬哺乳室、精緻員工餐廳、咖啡廳、便利商店與超值咖啡享用
◆週休二日，彈性上下班時間
◆年度員工表揚活動(優良研發人員、資深員工與優秀員工表揚)

◎豐富的休閒生活
◆員工家庭日、歡樂年終晚會、豐富的藝文饗宴、人文系列講座與期刊閱覽室
◆國內、外旅遊與部門聯誼活動、不定期提供免費電影票券與特約商店折扣
◆豐富多元的休閒活動與社團活動、多功能的運動休閒設施",https://m.104.com.tw/job/6avi2?jobsource=jolist_c_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,博思資訊管理顧問有限公司,Data Scientist/資料科學家,Data Scientist/資料科學家 為優化數位商業流程，應用Celonis資料探勘技術，向客戶展示數據處理分析與其附加價值。運用概念性方法分析有意義的關鍵KPI應用實例，讓我們的客戶在競爭者中保持領先地位。您須能夠面對個別需求，並將結果呈現給管理者或決策者。透過新策略與案例分析，您將隨公司進行一系列國際化擴張與團隊發展。,接受身份：                    上班族                    可上班日：一個月內工作經歷：3年以上學歷要求：大學以上科系要求：數學及電算機科學學科類、工程學科類、統計學相關語文條件：                        英文 -- 聽 /精通、說 /精通、讀 /中等、寫 /中等  擅長工具：MS SQL、MySQL、PL/SQL  工作技能：資料庫系統管理維護、資料庫程式設計、資料庫軟體應用其他條件：                        請提供英文履歷,"月薪 60,000~90,000元                                                薪資行情","法定項目

週休二日 
其他福利

員工紅利 優於勞基法特休 

                        1. 勞健保，週休二日
2. 不定期公司聚餐
3. 優於勞基法特休天數
4.良好的辦公環境,提供咖啡等使用
應徵方式",https://m.104.com.tw/job/76zaa?jobsource=jolist_c_relevance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
